"Count","Name","Price","I purchased this phone and didn't work","Review","Quantity","Brand","Brand_Number"
"51","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","After 3 days the screen on this phone stopped working and I'm very pissed off !!!!! There is no way to contact the seller to try another one and send this one back. Now I don't have a phone !! I wasted my money !!!","108","Samsung","8"
"52","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","I hate this phone I will never tell someone to bye a phone off amazon!!!!! Worst phone ever!!!😡😡😡😡😡😤😤😤😤😤😤😤😤😤😤😤😤😤😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡","108","Samsung","8"
"53","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","The phone never worked","108","Samsung","8"
"54","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","5","thanks","108","Samsung","8"
"55","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","5","Perfect","108","Samsung","8"
"56","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","Not worth ordering went hay wire","108","Samsung","8"
"57","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","5","I never got the second one","108","Samsung","8"
"58","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","Like other people stated, came with porno malware that does not go away after a factory reset.","108","Samsung","8"
"59","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","3","Slightly bigger than I expected and shuts off and restarts randomly for no apparent reason.","108","Samsung","8"
"60","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","Just don't buy it please this phone sucks @$$ never spent my money on something and regretted it until now smh","108","Samsung","8"
"61","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","My blow out after a few months. Can I get replaced phone 📞. Boost mobile phone 5 or 6 inch.","108","Samsung","8"
"62","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","2","My phone turns on by it self. N i cant download no apps without it kicking me out. So im giving it a 2 until i get something better.","108","Samsung","8"
"63","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","5","Wonderful love it","108","Samsung","8"
"64","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","Didn't work","108","Samsung","8"
"65","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","This phone was not even accessible on my plan. They could not even find it to connect the phone with my carrier. very dissatisfied.","108","Samsung","8"
"66","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","2","This phone looks nice but its only 2g. When I tried to use this phone with my phone carrier it would not work.The 2g is tooo slow and even on wifi I could not go to the internet. This phone is crap and I felt like I had a flip phone that just looked nice.","108","Samsung","8"
"67","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","I wish it was better and that it wasn't so easy to break","108","Samsung","8"
"68","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","2","Again you cannot hear without a blue tooth or earphones. Also the phone is giving me a lot of problems and I'm ready to return it.","108","Samsung","8"
"69","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","No it did not..I could not get it activated. Was not a good phone at all.","108","Samsung","8"
"70","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","I hate the phone it took picture of me randomly and it downloaded over 10 apps I didn't authorize it to download it is A bad phone to order it used over 10gbs to do that and I coundnt even delete them I hated this phone I wanted to throw it out-of the window it is not worth the money I spent on it promise that DO NOT ODER THIS PHONE NOT WORTH IT PROMISE","108","Samsung","8"
"71","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","4","Brought this for my cousin and she loved it","108","Samsung","8"
"72","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","Bought as a Xmas present for wife. By the time she opened it, selected a carrier, got their SIM and installed it the return period was up. While inputting contacts she started getting porno popups. Tried to reset to factory setting but the Porn is ""deeply rooted"" so the phone may have come with the malware installed. Its trash!","108","Samsung","8"
"73","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","Worst phone i ever had. I literally had it for a month, and its toast. It downloads virus after virus ON ITS OWN! Camera sucks, and it takes forever to make and recieve calls. That's what i get for going the cheap route.. 👎👎👎","108","Samsung","8"
"74","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","This was the worst phone I have used . It doesn't even work .","108","Samsung","8"
"75","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","I bought 2 one for myself and one for my wife. They were great for the first two days then at the same time caught a virus that destroyed them instantly and we had to buy new phones it was awful I wouldn't buy them again","108","Samsung","8"
"76","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","keep going off and not able to use for the last 2 weeks","108","Samsung","8"
"77","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","5","Quick delivery and better quality than I exspected. Thank you!","108","Samsung","8"
"78","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","The phone is weak it would not charger Facebook work sometimes my messager don't work at it hang up in the middle of call","108","Samsung","8"
"79","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","This phone sucks the data is terrible if you have a SIM card the data you pay for isn't transferred. The phone only has G not 4G or even 3G it looks nice but that's it.","108","Samsung","8"
"80","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","5","It is a very good phone every body like it .","108","Samsung","8"
"81","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","5","Yes...no problems husband love it.","108","Samsung","8"
"82","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","I ordered this phone thinking I could use it on my boost mobile service when I got the phone and inserted my sim card it kept saying it couldn't read or that my sim card wasn't inserted I tried calling boost mobile and they said they couldn't get 2 work thru there system so I took it up 2 the store and even they said they couldn't get it 2 switch I'm highly unsatisfied with the phone due to it being an unlocked phone and it suppose to be good for any service and it's not working at all for my phone","108","Samsung","8"
"83","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","5","Bought this for a Friend,She likes it very much.","108","Samsung","8"
"84","6"" Inch Unlocked Android 4.4.2 MTK6572 Dual Core Smartphone 598.0~1203.0MHz RAM 512MB ROM 4GB Unlocked WCDMA GPS QHD IPS 6inch Dual SIM Cell Phones (Black)","100","1","DO NOT BUY THIS PHONE!!!!! I've had it for several months (3-16) and it is a nightmare!! It is essentially a HTC M8. It has programming in it which cannot be deleted from China and does not 'hold' updated programmed information from Droid! It randomly does what it wants! Calls people, calls voice mail, flashes, incompatible with bluetooth, won't accept/see additional sim card so it stores everything on the phone's sim which means, you can't take pictures/video, voice record . . . nothing! And, OMG it is so SLOW ON DIALING OR ANYTHING ELSE, it must have been built during the first Apollo Mission to the Moon. A nightmare!!!!! I'm going to attempt to return it to Amazon!!! This product should NEVER BE BOUGHT BY ANYONE WHO NEEDS A RELIABLE PHONE THAT CALLS PEOPLE!","108","Samsung","8"
